rk,TEAM,CONF,RECORD,KADJ EM,adjo,adjo.rank,adjd,adjd.rank,adjt,adjt.rank,luck,luck.rank,sos-adjem,sos-adjem.rank,sos-oppo,sos-oppo.rank,sos-oppd,sos-oppd.rank,ncsos-adjem,ncsos-adjem.rank,seed,conference,KADJ T,adjtempo.rank,KADJ O,adjoe.rank,off-efg%,off-efg%.rank,off-to%,off-to%.rank,off-or%,off-or%.rank,off-ftrate,off-ftrate.rank,KADJ D,adjde.rank,def-efg%,def-efg%.rank,def-to%,def-to%.rank,def-or%,def-or%.rank,def-ftrate,def-ftrate.rank,tempo-adj,tempo-adj.rank,tempo-raw,tempo-raw.rank,off. efficiency-adj,off. efficiency-adj.rank,off. efficiency-raw,off. efficiency-raw.rank,def. efficiency-adj,def. efficiency-adj.rank,def. efficiency-raw,def. efficiency-raw.rank,YEAR,BARTHAG,W,L,WIN%,GAMES
134,Arkansas,SEC,9-19,+2.95,98.0,243,95.1,46,65.8,211,-.038,266,+10.25,11,107.4,8,97.2,14,+0.58,141,,SEC,65.8,211,98.0,243,44.7,307,24.6,290,37.9,25,35.2,196,95.1,46,47.3,76,19.6,268,28.3,32,46.5,309,65.8,211,67.8,206,98.0,243,91.1,309,95.1,46,99.0,117,2003,0.5855120486233678,9,19,0.32142857142857145,28
149,Arkansas Little Rock,SB,16-12,+1.63,102.3,163,100.7,138,66.1,205,+.035,81,-0.50,160,102.0,175,102.5,157,-3.58,241,,SB,66.1,205,102.3,163,51.2,90,22.8,236,30.2,229,42.1,55,100.7,138,49.5,165,22.1,124,32.6,181,37.0,168,66.1,205,67.8,204,102.3,163,100.7,177,100.7,138,99.0,120,2003,0.5451974222963143,16,12,0.5714285714285714,28
322,Arkansas Pine Bluff,SWAC,4-24,-25.62,77.2,327,102.9,174,67.7,128,+.014,128,-4.44,242,99.4,244,103.9,216,+16.45,1,,SWAC,67.7,128,77.2,327,39.8,327,26.6,320,23.3,321,32.4,270,102.9,174,49.3,159,24.1,39,41.0,327,42.8,280,67.7,128,71.6,59,77.2,327,76.2,327,102.9,174,102.6,208,2003,0.035413065219113936,4,24,0.14285714285714285,28
160,Arkansas St.,SB,11-15,+0.48,107.7,77,107.2,256,66.5,185,-.101,318,-0.48,158,101.6,186,102.1,141,-4.53,264,,SB,66.5,185,107.7,77,50.6,119,19.9,78,30.4,224,39.2,104,107.2,256,51.3,246,23.5,65,36.2,292,51.6,324,66.5,185,66.4,252,107.7,77,106.6,55,107.2,256,105.2,257,2003,0.5133751479437529,11,15,0.4230769230769231,26
323,Army,Pat,3-22,-25.67,85.6,321,111.3,303,62.2,303,+.026,97,-6.28,269,97.8,285,104.0,228,-9.59,314,,Pat,62.2,303,85.6,321,47.4,247,27.4,323,23.9,319,26.6,323,111.3,303,51.5,254,20.4,224,32.1,156,43.2,288,62.2,303,63.3,310,85.6,321,85.0,321,111.3,303,106.2,271,2003,0.046563506198301644,3,22,0.12,25
46,Auburn,SEC,22-12,+13.63,107.7,74,94.1,31,66.6,181,+.051,52,+8.22,39,106.0,55,97.8,27,-4.71,267,10,SEC,66.6,181,107.7,74,51.8,69,23.3,255,36.3,52,35.3,189,94.1,31,47.8,92,22.9,93,34.0,238,29.6,31,66.6,181,67.9,196,107.7,74,102.5,132,94.1,31,96.9,63,2003,0.8252604829071473,22,12,0.6470588235294118,34
135,Austin Peay,OVC,20-8,+2.65,100.7,197,98.0,86,64.4,273,+.171,1,-0.97,170,104.2,109,105.1,279,+7.41,27,13,OVC,64.4,273,100.7,197,50.8,110,22.4,217,29.1,258,45.9,22,98.0,86,48.7,131,20.4,225,31.7,143,32.3,69,64.4,273,67.2,231,100.7,197,101.7,151,98.0,86,99.6,135,2003,0.5775077337341794,20,8,0.7142857142857143,28
24,BYU,MWC,23-9,+17.68,109.4,52,91.7,16,65.5,234,-.031,247,+5.49,74,107.3,11,101.8,130,+5.20,52,12,MWC,65.5,234,109.4,52,52.1,53,20.5,119,32.3,158,46.1,21,91.7,16,45.5,19,21.8,142,27.5,19,46.0,303,65.5,234,66.2,261,109.4,52,108.3,34,91.7,16,95.3,38,2003,0.8838718612891326,23,9,0.71875,32
169,Ball St.,MAC,13-17,-0.35,106.5,94,106.8,251,70.1,54,+.012,135,+2.41,116,104.2,108,101.8,129,+5.76,45,,MAC,70.1,54,106.5,94,47.3,249,18.2,19,33.7,109,36.6,157,106.8,251,52.0,267,20.6,214,33.4,216,51.5,323,70.1,54,70.3,102,106.5,94,103.6,101,106.8,251,107.8,292,2003,0.49191349870420464,13,17,0.43333333333333335,30
102,Baylor,B12,14-14,+5.97,106.6,92,100.7,137,65.6,225,-.006,177,+5.20,77,103.5,130,98.3,44,-12.74,324,,B12,65.6,225,106.6,92,48.5,199,19.5,60,30.6,215,30.2,294,100.7,137,49.7,181,21.6,158,33.9,233,25.7,8,65.6,225,67.8,205,106.6,92,101.4,162,100.7,137,101.0,169,2003,0.6580876447366012,14,14,0.5,28
165,Belmont,ASun,17-12,+0.18,103.2,149,103.0,180,67.2,155,+.020,118,-3.17,220,101.1,197,104.3,239,+5.99,40,,ASun,67.2,155,103.2,149,54.0,18,24.1,277,31.5,186,34.6,206,103.0,180,49.6,176,21.5,160,30.6,94,35.1,126,67.2,155,69.4,133,103.2,149,103.5,102,103.0,180,100.9,167,2003,0.505576880067528,17,12,0.5862068965517241,29
314,Bethune Cookman,MEAC,8-22,-22.40,89.4,313,111.8,309,67.1,163,-.018,211,-12.93,320,94.9,319,107.9,319,-0.97,178,,MEAC,67.1,163,89.4,313,46.4,270,23.0,242,32.0,167,33.0,246,111.8,309,52.7,283,23.8,48,37.0,303,41.1,248,67.1,163,68.7,157,89.4,313,93.8,284,111.8,309,105.5,260,2003,0.07100882308614156,8,22,0.26666666666666666,30
198,Binghamton,AE,14-13,-3.57,96.7,258,100.3,129,66.1,203,+.007,145,-5.23,254,99.3,250,104.5,251,-2.15,207,,AE,66.1,203,96.7,258,48.7,189,22.0,197,31.5,188,28.0,313,100.3,129,45.2,13,20.4,223,32.7,187,34.6,115,66.1,203,68.1,188,96.7,258,97.4,240,100.3,129,96.7,59,2003,0.39643267491001144,14,13,0.5185185185185185,27
228,Birmingham Southern,BSth,17-9,-6.59,100.5,201,107.1,253,63.4,288,+.035,79,-12.10,316,94.7,321,106.8,304,-8.06,307,,BSth,63.4,288,100.5,201,52.0,60,23.9,270,32.2,163,44.7,31,107.1,253,48.9,138,23.0,88,31.4,119,36.7,159,63.4,288,65.6,276,100.5,201,103.6,100,107.1,253,98.7,110,2003,0.3248743401365861,17,9,0.6538461538461539,26
183,Boise St.,WAC,12-16,-1.56,96.0,263,97.5,80,66.7,178,-.032,253,-0.89,167,101.8,180,102.7,166,-4.15,256,,WAC,66.7,178,96.0,263,45.7,289,20.7,131,29.6,245,37.2,143,97.5,80,47.9,95,24.2,37,30.6,95,41.7,264,66.7,178,68.3,178,96.0,263,94.8,270,97.5,80,96.2,52,2003,0.4555431757387771,12,16,0.42857142857142855,28
49,Boston College,BE,19-12,+13.30,117.7,4,104.4,203,68.2,112,+.034,85,+8.51,33,106.1,48,97.6,22,+2.55,93,,BE,68.2,112,117.7,4,52.0,61,18.8,33,37.0,37,42.1,57,104.4,203,50.0,192,19.9,256,38.0,316,35.4,130,68.2,112,69.9,114,117.7,4,111.8,8,104.4,203,107.6,286,2003,0.7988235013443095,19,12,0.6129032258064516,31
125,Boston University,AE,20-11,+3.64,102.4,161,98.7,100,64.4,274,+.013,133,-3.75,232,99.6,238,103.4,200,+5.48,48,,AE,64.4,274,102.4,161,48.9,179,20.1,94,31.7,180,34.8,203,98.7,100,45.1,12,19.5,272,28.7,37,45.1,298,64.4,274,65.9,267,102.4,161,102.0,142,98.7,100,95.1,36,2003,0.604253584602755,20,11,0.6451612903225806,31
184,Bowling Green,MAC,11-16,-1.88,98.7,230,100.6,134,66.1,202,+.050,58,+3.27,103,105.7,61,102.5,155,+8.25,25,,MAC,66.1,202,98.7,230,50.3,125,24.6,288,26.3,305,49.8,3,100.6,134,50.3,205,21.3,176,32.4,171,45.5,300,66.1,202,67.6,216,98.7,230,97.9,229,100.6,134,103.9,235,2003,0.4454000739221374,11,16,0.4074074074074074,27
145,Bradley,MVC,12-18,+1.95,103.1,152,101.2,145,68.6,93,-.125,325,+1.11,137,103.9,116,102.8,175,+1.41,122,,MVC,68.6,93,103.1,152,49.3,169,19.9,80,28.8,263,41.3,66,101.2,145,52.4,274,22.3,115,28.3,35,35.9,139,68.6,93,70.1,109,103.1,152,102.0,141,101.2,145,101.8,192,2003,0.5532738433508397,12,18,0.4,30
158,Brown,Ivy,17-12,+0.76,105.6,105,104.8,215,70.6,41,+.042,70,-2.43,208,100.7,215,103.1,190,-0.20,157,,Ivy,70.6,41,105.6,105,52.2,50,21.9,192,27.9,288,45.7,25,104.8,215,51.2,243,21.5,165,32.2,162,30.8,55,70.6,41,70.5,96,105.6,105,104.3,86,104.8,215,102.2,198,2003,0.5218492997047407,17,12,0.5862068965517241,29
220,Bucknell,Pat,14-15,-5.75,91.1,301,96.8,66,63.3,289,-.005,175,-5.32,256,99.3,248,104.6,258,-3.51,239,,Pat,63.3,289,91.1,301,46.6,264,24.9,299,28.5,271,46.3,18,96.8,66,49.0,146,23.9,44,26.0,7,32.6,81,63.3,289,63.6,305,91.1,301,91.2,307,96.8,66,93.0,14,2003,0.3322722904673334,14,15,0.4827586206896552,29
259,Buffalo,MAC,5-23,-10.33,95.4,271,105.8,232,66.8,175,-.127,326,-0.38,157,103.5,127,103.9,215,-3.82,250,,MAC,66.8,175,95.4,271,44.9,305,21.3,164,34.4,88,33.1,242,105.8,232,52.7,285,19.4,279,32.4,172,48.0,315,66.8,175,67.8,207,95.4,271,95.7,261,105.8,232,106.8,279,2003,0.2332719345771616,5,23,0.17857142857142858,28
31,Butler,Horz,27-6,+16.09,115.4,11,99.3,110,58.6,325,+.073,24,+4.10,91,104.5,95,100.4,94,+1.84,112,12,Horz,58.6,325,115.4,11,55.6,6,17.4,9,26.4,301,32.5,261,99.3,110,49.7,182,19.9,251,33.1,205,28.2,13,58.6,325,59.4,325,115.4,11,112.7,4,99.3,110,100.6,155,2003,0.8491533459479446,27,6,0.8181818181818182,33
181,Cal Poly,BW,15-14,-1.38,98.4,234,99.7,119,69.2,75,+.045,65,-1.64,183,101.2,194,102.8,176,+0.71,136,,BW,69.2,75,98.4,234,48.2,216,22.9,239,30.5,220,35.0,199,99.7,119,46.9,54,21.9,135,33.5,219,37.7,188,69.2,75,68.5,170,98.4,234,97.7,234,99.7,119,98.9,113,2003,0.4623374645942925,15,14,0.5172413793103449,29
234,Cal St. Fullerton,BW,10-19,-7.48,101.4,181,108.9,284,59.9,320,-.008,184,-2.38,206,100.9,207,103.2,196,-2.61,217,,BW,59.9,320,101.4,181,48.5,197,21.1,151,36.1,58,37.7,129,108.9,284,54.5,316,22.5,108,31.4,120,39.5,225,59.9,320,61.0,319,101.4,181,100.3,184,108.9,284,106.4,276,2003,0.3056352935732091,10,19,0.3448275862068966,29
189,Cal St. Northridge,BW,13-15,-2.53,100.6,198,103.1,183,67.8,126,-.019,213,-2.31,205,100.6,218,102.9,177,-0.95,176,,BW,67.8,126,100.6,198,50.3,128,24.5,287,33.1,132,39.5,100,103.1,183,50.6,219,24.4,30,30.5,84,50.7,321,67.8,126,68.4,174,100.6,198,100.0,189,103.1,183,100.7,160,2003,0.4298919432888362,13,15,0.4642857142857143,28
47,California,P10,22-9,+13.59,109.9,45,96.3,63,65.9,208,+.061,42,+7.06,57,106.7,31,99.6,79,+0.30,147,8,P10,65.9,208,109.9,45,52.0,57,19.8,75,31.4,194,33.1,245,96.3,63,49.6,169,21.0,194,29.5,53,30.4,45,65.9,208,69.1,145,109.9,45,105.7,68,96.3,63,99.8,139,2003,0.820417587707436,22,9,0.7096774193548387,31
318,Campbell,ASun,4-22,-24.53,92.2,295,116.7,324,66.4,187,-.012,195,-7.21,279,99.5,243,106.7,302,-9.86,315,,ASun,66.4,187,92.2,295,50.1,139,23.4,256,23.4,320,35.3,191,116.7,324,56.3,324,21.2,183,38.7,321,30.2,41,66.4,187,68.1,186,92.2,295,94.1,278,116.7,324,113.8,325,2003,0.06238972961214931,4,22,0.15384615384615385,26
202,Canisius,MAAC,10-18,-3.77,99.3,218,103.0,182,68.6,97,-.116,321,-2.57,210,101.2,196,103.7,210,-0.42,161,,MAAC,68.6,97,99.3,218,48.8,181,20.2,97,30.1,231,27.2,321,103.0,182,47.2,74,20.1,241,34.4,254,35.8,135,68.6,97,70.8,85,99.3,218,99.5,200,103.0,182,100.6,157,2003,0.3963470339249942,10,18,0.35714285714285715,28
245,Centenary,ind,10-14,-8.60,103.1,151,111.7,306,68.9,84,+.031,90,-3.92,236,99.0,257,102.9,179,+2.11,105,,ind,68.9,84,103.1,151,49.1,173,22.3,212,32.2,160,40.7,79,111.7,306,54.3,313,23.8,49,40.7,326,41.4,257,68.9,84,72.2,46,103.1,151,100.4,183,111.7,306,107.9,298,2003,0.2846830809380861,10,14,0.4166666666666667,24
238,Central Connecticut,NEC,15-13,-8.04,101.1,189,109.2,290,61.6,312,+.024,102,-9.68,308,97.3,292,107.0,308,-4.92,270,,NEC,61.6,312,101.1,189,51.3,88,23.9,271,37.1,30,33.7,225,109.2,290,52.7,282,20.4,222,31.2,113,23.5,2,61.6,312,64.6,293,101.1,189,104.6,84,109.2,290,104.0,239,2003,0.2918707060737925,15,13,0.5357142857142857,28
70,Central Michigan,MAC,25-7,+10.01,109.5,51,99.4,113,71.7,20,+.137,3,+2.06,122,104.3,102,102.3,152,+2.86,89,11,MAC,71.7,20,109.5,51,56.6,3,25.2,304,34.7,85,47.0,12,99.4,113,50.4,208,22.3,116,31.7,144,37.4,179,71.7,20,72.7,36,109.5,51,108.0,36,99.4,113,101.2,176,2003,0.7526662027174982,25,7,0.78125,32
250,Charleston Southern,BSth,12-14,-9.10,94.2,278,103.3,186,65.0,255,-.020,216,-9.57,306,97.2,293,106.8,303,+1.11,128,,BSth,65.0,255,94.2,278,47.7,235,21.8,184,30.7,212,29.6,300,103.3,186,49.9,189,25.2,9,31.6,133,40.2,235,65.0,255,66.5,249,94.2,278,97.0,243,103.3,186,97.8,83,2003,0.257214347953104,12,14,0.46153846153846156,26
103,Charlotte,CUSA,13-16,+5.97,104.5,125,98.5,94,65.8,217,-.007,182,+7.57,47,105.7,63,98.1,38,+4.65,58,,CUSA,65.8,217,104.5,125,46.2,281,19.8,76,35.1,74,33.7,227,98.5,94,51.4,248,22.4,112,29.1,44,30.8,52,65.8,217,67.6,211,104.5,125,98.9,208,98.5,94,101.3,179,2003,0.6637389244123846,13,16,0.4482758620689655,29
127,Chattanooga,SC,19-9,+3.34,110.6,36,107.3,258,69.2,72,+.034,83,-3.70,231,100.7,213,104.4,241,+1.75,116,,SC,69.2,72,110.6,36,54.4,12,22.8,234,36.5,44,39.8,96,107.3,258,52.8,289,21.6,152,32.0,153,29.4,29,69.2,72,71.9,53,110.6,36,110.9,16,107.3,258,104.3,243,2003,0.5862177779872808,19,9,0.6785714285714286,28
308,Chicago St.,MCon,3-27,-18.22,93.2,288,111.4,305,65.7,220,-.037,265,-2.20,202,102.0,176,104.2,235,+0.27,149,,MCon,65.7,220,93.2,288,47.8,232,25.7,309,34.2,97,37.5,132,111.4,305,54.0,309,20.7,212,34.4,253,47.5,312,65.7,220,67.5,222,93.2,288,93.2,289,111.4,305,110.6,319,2003,0.11391448116044947,3,27,0.1,30
36,Cincinnati,CUSA,17-12,+14.69,105.0,116,90.3,13,66.4,188,-.066,297,+7.32,51,106.6,33,99.3,68,+3.65,68,8,CUSA,66.4,188,105.0,116,46.3,277,16.1,2,32.4,155,37.1,145,90.3,13,45.7,24,21.1,191,29.6,60,38.4,203,66.4,188,67.5,219,105.0,116,100.7,174,90.3,13,93.2,16,2003,0.8499824266636713,17,12,0.5862068965517241,29
105,Clemson,ACC,15-13,+5.75,107.3,82,101.6,152,63.6,285,+.026,94,+5.05,80,104.0,112,99.0,65,-12.32,323,,ACC,63.6,285,107.3,82,48.5,201,20.3,104,37.0,34,40.4,88,101.6,152,50.1,200,21.8,143,33.3,212,34.1,105,63.6,285,66.3,260,107.3,82,103.3,108,101.6,152,102.8,216,2003,0.6519743000707091,15,13,0.5357142857142857,28
240,Cleveland St.,Horz,8-22,-8.12,97.7,248,105.8,235,66.1,200,-.011,192,+2.17,119,104.9,77,102.7,169,-0.56,166,,Horz,66.1,200,97.7,248,50.4,124,25.4,307,30.6,216,41.2,69,105.8,235,52.0,265,21.1,192,37.2,309,36.0,144,66.1,200,67.6,213,97.7,248,96.1,256,105.8,235,107.2,282,2003,0.28578116542139614,8,22,0.26666666666666666,30
261,Coastal Carolina,BSth,11-15,-10.47,98.4,235,108.8,283,65.3,241,-.019,214,-9.23,302,96.7,303,105.9,290,+0.46,144,,BSth,65.3,241,98.4,235,48.8,182,24.9,298,37.1,32,33.8,223,108.8,283,49.5,166,20.9,200,32.7,184,46.2,307,65.3,241,67.5,221,98.4,235,99.7,196,108.8,283,102.8,218,2003,0.23950211203819202,11,15,0.4230769230769231,26
235,Colgate,Pat,12-14,-7.72,97.4,251,105.2,223,66.2,198,+.003,156,-7.11,278,97.9,283,105.0,273,-6.33,291,,Pat,66.2,198,97.4,251,49.2,171,21.3,161,28.5,268,26.7,322,105.2,223,51.5,253,22.4,113,30.3,76,38.5,206,66.2,198,67.1,234,97.4,251,98.2,223,105.2,223,100.8,164,2003,0.2919511631682725,12,14,0.46153846153846156,26
120,College of Charleston,SC,23-8,+4.08,102.5,159,98.4,92,67.1,161,+.079,22,-2.83,214,101.2,193,104.1,229,-0.13,156,,SC,67.1,161,102.5,159,51.7,76,20.0,83,27.9,287,34.2,216,98.4,92,46.9,58,22.1,129,32.8,195,36.3,150,67.1,161,69.8,122,102.5,159,103.4,104,98.4,92,97.1,68,2003,0.6152542657413319,23,8,0.7419354838709677,31
34,Colorado,B12,20-12,+15.27,109.1,56,93.8,28,69.9,56,+.001,162,+9.02,23,106.9,24,97.8,30,+0.22,151,10,B12,69.9,56,109.1,56,48.4,208,19.4,50,37.0,38,38.7,107,93.8,28,45.6,21,17.3,320,30.2,74,29.6,33,69.9,56,71.8,55,109.1,56,104.1,89,93.8,28,97.7,80,2003,0.8503883796250726,20,12,0.625,32
104,Colorado St.,MWC,17-14,+5.96,110.6,37,104.6,205,67.1,162,+.031,88,+4.39,89,104.6,86,100.2,92,-3.45,235,14,MWC,67.1,162,110.6,37,54.1,17,23.6,262,34.8,83,46.4,16,104.6,205,49.5,163,17.8,313,32.9,196,39.4,224,67.1,162,68.4,173,110.6,37,106.8,53,104.6,205,106.0,264,2003,0.6550766833289139,17,14,0.5483870967741935,31
316,Columbia,Ivy,2-25,-22.93,82.7,325,105.7,230,60.0,318,-.032,256,-4.01,237,99.4,245,103.4,204,-5.28,281,,Ivy,60.0,318,82.7,325,42.8,323,28.1,326,28.3,273,35.2,194,105.7,230,49.6,175,21.5,166,31.4,126,39.3,221,60.0,318,60.7,321,82.7,325,82.0,325,105.7,230,102.1,195,2003,0.05615051562740114,2,25,0.07407407407407407,27
22,Connecticut,BE,23-10,+19.54,111.6,26,92.0,17,71.2,29,+.005,152,+8.75,29,107.3,10,98.6,57,-3.48,237,5,BE,71.2,29,111.6,26,51.6,77,20.9,138,40.7,3,35.8,178,92.0,17,42.7,2,17.8,315,32.2,159,32.3,70,71.2,29,73.4,26,111.6,26,107.6,47,92.0,17,96.9,62,2003,0.9021216006813736,23,10,0.696969696969697,33
287,Coppin St.,MEAC,11-17,-13.18,94.2,279,107.4,261,59.5,321,+.002,161,-8.16,291,97.5,290,105.7,288,+13.71,3,,MEAC,59.5,321,94.2,279,48.3,214,24.4,284,30.6,214,32.5,264,107.4,261,52.4,277,24.2,34,33.8,230,31.8,66,59.5,321,60.3,324,94.2,279,95.5,264,107.4,261,101.9,193,2003,0.18121905913499428,11,17,0.39285714285714285,28
293,Cornell,Ivy,8-18,-15.11,92.5,293,107.6,264,64.9,261,+.042,72,-3.78,233,99.6,239,103.4,203,-4.00,252,,Ivy,64.9,261,92.5,293,48.7,191,23.8,268,27.4,292,34.4,211,107.6,264,52.1,268,22.1,126,33.4,214,33.2,91,64.9,261,65.0,288,92.5,293,92.4,297,107.6,264,104.8,250,2003,0.1494478738181376,8,18,0.3076923076923077,26
26,Creighton,MVC,29-5,+17.54,112.4,24,94.9,40,68.4,103,+.026,99,-0.19,155,102.5,159,102.7,168,-0.51,164,6,MVC,68.4,103,112.4,24,56.7,2,19.5,61,33.3,123,34.7,205,94.9,40,47.8,93,24.4,28,30.1,71,30.7,50,68.4,103,69.4,136,112.4,24,113.4,2,94.9,40,93.2,17,2003,0.8750385514663206,29,5,0.8529411764705882,34
284,Dartmouth,Ivy,8-19,-12.45,95.6,267,108.1,271,60.5,316,-.058,288,-5.25,255,99.0,255,104.3,236,-6.58,296,,Ivy,60.5,316,95.6,267,49.5,154,20.1,89,21.8,323,29.1,305,108.1,271,50.2,201,20.3,230,32.8,194,36.5,153,60.5,316,61.0,317,95.6,267,95.8,258,108.1,271,104.4,245,2003,0.19573534798652123,8,19,0.2962962962962963,27
143,Davidson,SC,14-10,+2.18,103.2,148,101.0,143,70.3,48,+.004,154,-2.28,204,101.0,201,103.3,197,+11.96,9,,SC,70.3,48,103.2,148,52.9,29,25.3,306,32.5,146,32.5,269,101.0,143,47.1,65,19.2,283,30.3,75,32.4,73,70.3,48,74.1,18,103.2,148,102.8,123,101.0,143,99.0,118,2003,0.561636376348685,14,10,0.5833333333333334,24
40,Dayton,A10,24-6,+14.53,116.4,8,101.9,161,64.4,270,+.084,14,+4.91,83,104.4,99,99.5,75,+5.51,47,4,A10,64.4,270,116.4,8,52.0,62,20.4,107,39.7,4,41.0,76,101.9,161,48.1,103,18.2,304,33.5,218,30.8,54,64.4,270,64.7,292,116.4,8,112.1,6,101.9,161,102.8,214,2003,0.8220014629395435,24,6,0.8,30
69,DePaul,CUSA,16-13,+10.04,105.1,115,95.1,47,65.8,214,-.006,178,+6.47,63,105.1,71,98.6,58,+1.87,110,,CUSA,65.8,214,105.1,115,48.4,210,22.6,228,37.1,31,40.1,92,95.1,47,48.0,100,19.8,259,27.9,24,36.7,160,65.8,214,66.9,240,105.1,115,100.5,182,95.1,47,97.3,73,2003,0.7594758539863824,16,13,0.5517241379310345,29
